name,Npoints,Nboundary,ri,re,xcenter,ycenter,number,c,eig1,eig2,eig3,eig4
001,100,100,0.2,10,7.34073996516909,-4.93554450947109,20,0.2,0.0868353333718788,0.205046906421978,0.217693114107275,0.394797543754292
002,100,100,0.209309309309309,10,-8.63327759214059,-1.80629250006179,20,0.2,0.0897567991912784,0.208017096826431,0.219528193467362,0.401878947799845
003,100,100,0.218618618618619,10,-2.52703989000027,-7.75882165317741,20,0.2,0.0887450067100291,0.211511621437316,0.219822696875624,0.393512328148444
004,100,100,0.227927927927928,10,9.13965191553166,-0.637795217489202,20,0.2,0.0901364628833976,0.205796392678049,0.219624836003731,0.393025037896733
005,100,100,0.237237237237237,10,-7.3217462988947,-4.21816335859271,20,0.2,0.0887904460540982,0.205965494266219,0.219217997321932,0.392779087627545
006,100,100,0.246546546546547,10,-0.634521437553136,-4.1365222408863,20,0.2,0.108497853393411,0.207527645697398,0.283401569899873,0.399899000699519
007,100,100,0.255855855855856,10,-4.2609328352343,-4.01533279939995,20,0.2,0.0982645059582322,0.208424027144878,0.257629390825812,0.396672503935918
008,100,100,0.265165165165165,10,-3.56200306094928,-1.4638026072361,20,0.2,0.115430968951106,0.212043420104392,0.290575579931275,0.396413054309731
009,100,100,0.274474474474474,10,-2.87757327574637,-6.84200400013003,20,0.2,0.0898718730321592,0.206284637110077,0.23274748236868,0.390400155685499
010,100,100,0.283783783783784,10,-4.61363934768879,-3.20572194787676,20,0.2,0.100590378077698,0.207922484702044,0.268412878792812,0.398686452542523
011,100,100,0.293093093093093,10,4.28159697024869,-1.8171422428656,20,0.2,0.107560716841905,0.210899653515955,0.284958953631491,0.403088334680853
012,100,100,0.302402402402402,10,-2.42101207305061,8.22997104925272,20,0.2,0.0868005741853291,0.203653930702862,0.221960089599905,0.393534696637397
013,100,100,0.311711711711712,10,-7.66076105990441,3.19167898811373,20,0.2,0.0874784541907898,0.204988037499933,0.225013029592171,0.397733836039264
014,100,100,0.321021021021021,10,1.47072534387287,3.01621848052608,20,0.2,0.121662503432002,0.21325136627797,0.2934844796653,0.40418810052768
015,100,100,0.33033033033033,10,-1.78421585250977,-0.51450436718188,20,0.2,0.139454305278927,0.216013889325412,0.261865866615319,0.396922513165135
016,100,100,0.33963963963964,10,-4.05973558131724,1.63296882225532,20,0.2,0.109615167819139,0.207785142341007,0.287600160108474,0.401562026476193
017,100,100,0.348948948948949,10,-2.88078949249096,4.89784405331165,20,0.2,0.100575129904158,0.207713054790062,0.268196539943644,0.403109252230132
018,100,100,0.358258258258258,10,-2.32488033373217,6.45084785129703,20,0.2,0.0940038370847332,0.206600085800117,0.244312822606701,0.394722007993878
019,100,100,0.367567567567568,10,1.43418165847563,-3.56198211263649,20,0.2,0.115671240741569,0.213800315341493,0.294544239854241,0.401024458094938
020,100,100,0.376876876876877,10,-2.70213855372007,0.596812147378386,20,0.2,0.128334017433382,0.214734422403461,0.287052162220224,0.402780651885431
